Level code,University,City,Courses,Faculty,Int fees,Local fees,Currency,Currency Time,Duration,Duration Time,Prerequiste_1,Prerequiste_2,Prerequiste_3,Prerequiste_1_grade,Prerequiste_2_grade,Prerequiste_3_grade,Website,course_lang,Availability,Description,Career outcomes,Country,Online,Offline,Distance,Face to face,Blended,Remarks,Course delivery mode,Free TAFE
CERTIII,South Metropolitan TAFE,Armadale,CHC32015 Certificate III in Community Services,Education and Community Services,,,AUD,Year,,,,,,,,,https://www.southmetrotafe.wa.edu.au/courses/certificate-iii-community-services,English,A,"When you complete the Certificate III in Community Services you'll be on your way to a career as a youth worker, support worker, or family carer.","Welfare Support Worker, Community Worker, Family Support Worker, Youth Worker",Australia,Yes,Yes,,Yes,Yes,OLNA or NAPLAN 9 Band 8 or C Grades in Year 10 English and Maths or equivalent or Certificate I or Certificate II,Normal,No
CERTI,South Metropolitan TAFE,Armadale,CHC42015 Certificate IV in Community Services,Education and Community Services,,,AUD,Year,,,,,,,,,https://www.southmetrotafe.wa.edu.au/courses/certificate-iv-community-services,English,A,"When you complete the Certificate IV in Community Services Work you'll be on your way to a career as an outreach officer, welfare support worker, or case worker.","Welfare support worker, Case worker",Australia,Yes,Yes,,Yes,Yes,"C Grades in Year 11 WACE General English, and OLNA; or NAPLAN 9 Band 8 or C Grades in Year 11 English and Maths or equivalent or Certificate II or Certificate III",Normal,No
DIP,South Metropolitan TAFE,Armadale,CHC52015 Diploma of Community Services,Education and Community Services,,,AUD,Year,,,,,,,,,https://www.southmetrotafe.wa.edu.au/courses/diploma-community-services,English,A,"When you complete the Diploma of Community Services you'll be on your way to a team leading career as a program coordinator, early intervention worker, or case manager.","Community worker, Youth Worker, Family Support Worker",Australia,Yes,Yes,,Yes,Yes,Completion of WACE General or ATAR (Minimum C Grades) or equivalent or Completion of WACE General or ATAR or equivalent (minimum C Grades) or Certificate III,Normal,No
CERTI,South Metropolitan TAFE,Rockingham,CHC43115 Certificate IV in Disability,Education and Community Services,,,AUD,Year,1,Semester,,,,,,,https://www.southmetrotafe.wa.edu.au/courses/certificate-iv-disability,English,A,Please note that this course is currently only available to students who are working in the industry. This formal qualification provides the skills and knowledge to empower people with disability to achieve greater levels of independence.,Disability carer,Australia,Yes,Yes,,Yes,Yes,"C Grades in Year 11 WACE General English, and OLNA; or NAPLAN 9 Band 8 or C Grades in Year 11 English and Maths or equivalent or Certificate II or Certificate III",Normal,No
CERTIII,South Metropolitan TAFE,Armadale,CHC30113 Certificate III in Early Childhood Education and Care,Education and Community Services,,,AUD,Year,,,,,,,,,https://www.southmetrotafe.wa.edu.au/courses/certificate-iii-early-childhood-education-and-care,English,A,Early Childhood Education and Care is an expanding sector for those with a passion for the care and education of young children up to the age of 5 years. The sector is demanding higher qualifications and training from educators to ensure consistently high standards of education and care for children placed in these services. This can be achieved by completing the Certificate III in Early Childhood Education and Care.,"Child carer, Child care worker, Family day care worker, Nanny",Australia,Yes,Yes,,Yes,Yes,OLNA or NAPLAN 9 Band 8 or C Grades in Year 10 English and Maths or equivalent or Certificate I or Certificate II,Traineeship,No
DIP,South Metropolitan TAFE,Armadale,CHC50113 Diploma of Early Childhood Education and Care,Education and Community Services,,,AUD,Year,,,,,,,,,https://www.southmetrotafe.wa.edu.au/courses/diploma-early-childhood-education-and-care,English,A,"The Diploma of Early Childhood Education and Care covers educators in children's services (early childhood) who are responsible for planning, implementing and managing programs in early childhood services, in accordance with licensing, accreditation and duty of care requirements. At this level educators have responsibility for supervision of other staff and volunteers. In most states it is the highest qualification required at director or service manager level for children's service centre based care and education.","Child Care Centre Manager, Early Childhood Teacher, Child Carer",Australia,Yes,Yes,,Yes,Yes,Completion of WACE General or ATAR (Minimum C Grades) or equivalent or Completion of WACE General or ATAR or equivalent (minimum C Grades) or Certificate III,Traineeship,No
CERTIII,South Metropolitan TAFE,Armadale,CHC30213 Certificate III in Education Support,Education and Community Services,,,AUD,Year,1,Semester,,,,,,,https://www.southmetrotafe.wa.edu.au/courses/certificate-iii-education-support,English,A,"You will learn how to implement planned education programs, assist students in their learning and development, contribute to the safety and health of students and support students with additional needs. You will also learn how to work effectively with culturally diverse students and colleagues.",Education Assistant,Australia,Yes,Yes,,Yes,Yes,OLNA or NAPLAN 9 Band 8 or C Grades in Year 10 English and Maths or equivalent or Certificate I or Certificate II,Normal,No
CERTI,South Metropolitan TAFE,Armadale,CHC40213 Certificate IV in Education Support,Education and Community Services,,,AUD,Year,1,Semester,,,,,,,https://www.southmetrotafe.wa.edu.au/courses/certificate-iv-education-support,English,A,Want a career that fits in with your family life?,Education Assistant,Australia,Yes,Yes,,Yes,Yes,"C Grades in Year 11 WACE General English, and OLNA; or NAPLAN 9 Band 8 or C Grades in Year 11 English and Maths or equivalent or Certificate II or Certificate III",Normal,No
,South Metropolitan TAFE,Mandurah,CHCSS00114 Entry into Care Roles Skill Set,Education and Community Services,,,AUD,Year,,,,,,,,,https://www.southmetrotafe.wa.edu.au/courses/entry-care-roles-skill-set,English,A,"In these unprecedented times, new regulations need workers to manage infection control while in the direct care of others.",,Australia,Yes,Yes,,Yes,Yes,,Normal,No
DIP,South Metropolitan TAFE,Armadale,CHC51115 Diploma of Financial Counselling,Education and Community Services,,,AUD,Year,4,Semesters,,,,,,,https://www.southmetrotafe.wa.edu.au/courses/diploma-financial-counselling,English,A,"Make a difference to the lives of those suffering financial hardship with a range of specialist legal, financial and counselling skills.  ",Financial counsellor | Community worker,Australia,Yes,Yes,,Yes,Yes,Completion of WACE General or ATAR (Minimum C Grades) or equivalent or Completion of WACE General or ATAR or equivalent (minimum C Grades) or Certificate III,Traineeship,No
CERTIII,South Metropolitan TAFE,Thornlie,CHC33015 Certificate III in Individual Support (Ageing),Education and Community Services,,,AUD,Year,12,Months,,,,,,,https://www.southmetrotafe.wa.edu.au/courses/certificate-iii-individual-support-ageing,English,A,When you complete the Certificate III in Individual Support (Ageing) you'll be on your way to a career as an aged care assistant.,"Carer, Aged care worker",Australia,Yes,Yes,,Yes,Yes,OLNA or NAPLAN 9 Band 8 or C Grades in Year 10 English and Maths or equivalent or Certificate I or Certificate II,Normal,No
CERTIII,South Metropolitan TAFE,Mandurah,"CHC33015 Certificate III in Individual Support (Ageing, Home and Community)",Education and Community Services,,,AUD,Year,1,Semester,,,,,,,https://www.southmetrotafe.wa.edu.au/courses/certificate-iii-individual-support-ageing-home-and-community,English,A,When you complete the Certificate III in Individual Support you'll be on your way to a career as an aged care assistant.  ,"Carer, Aged care worker",Australia,Yes,Yes,,Yes,Yes,OLNA or NAPLAN 9 Band 8 or C Grades in Year 10 English and Maths or equivalent or Certificate I or Certificate II,Normal,No
CERTIII,South Metropolitan TAFE,Thornlie,CHC33015 Certificate III in Individual Support (Disability),Education and Community Services,,,AUD,Year,12,Months,,,,,,,https://www.southmetrotafe.wa.edu.au/courses/certificate-iii-individual-support-disability,English,A,When you complete the Certificate III in Individual Support (Disability) you'll be on your way to a career in disability support.,"Carer , Disability worker",Australia,Yes,Yes,,Yes,Yes,OLNA or NAPLAN 9 Band 8 or C Grades in Year 10 English and Maths or equivalent or Certificate I or Certificate II,Normal,No
