Level code,University,City,Courses,Faculty,Int fees,Local fees,Currency,Currency Time,Duration,Duration Time,Prerequiste_1,Prerequiste_2,Prerequiste_3,Prerequiste_1_grade,Prerequiste_2_grade,Prerequiste_3_grade,Website,course_lang,Availability,Description,Career outcomes,Country,Online,Offline,Distance,Face to face,Blended,Remarks
MST,Victoria University,City Flinders,Master of Business (Marketing),Victoria University Business School,"14,850",,AUD,Year,2,Years,IELTS,,,6.5,,,https://www.vu.edu.au/courses/international/BMMK,English,A,,advertising/ market research/ brand management/ marketing/ retail/sales/ public relations/ communications.,Australia,Yes,Yes,,Yes,Yes,
GDIP,Victoria University,City Flinders,Graduate Diploma in Business (Supply Chain Management),Victoria University Business School,"15,300",,AUD,Year,1,Year,IELTS,,,6.5,,,https://www.vu.edu.au/courses/international/BGBS,English,A,,supply-chain manager/ logistics professional/ global procurement specialist/ sourcing/distribution manager/ enterprise resource planning developer/ transport coordinator/ warehouse supervisor/ import/export manager/ customs manager.,Australia,Yes,Yes,,Yes,Yes,
MST,Victoria University,City Flinders,Master of Business (Supply Chain Management),Victoria University Business School,"14,850",,AUD,Year,2,Years,IELTS,,,6.5,,,https://www.vu.edu.au/courses/international/BMSM,English,A,"Aim for a leading role in the supply-chain and logistics industry, with the respected Master of Business (Supply Chain Management). You’ll learn the latest supply-chain theory and gain experience in one of Australia's largest industries. Many of our lecturers are practising professionals, with up-to-date industry knowledge and connections.",supply-chain manager/ logistics professional/ global procurement specialist/ sourcing/distribution manager/ enterprise resource planning developer/ project leader/ transport coordinator/ warehouse supervisor/ import/export manager/ customs manager.,Australia,Yes,Yes,,Yes,Yes,
GDIP,Victoria University,City Flinders,Graduate Diploma in Business (Tourism and Destination Management),Victoria University Business School,"14,850",,AUD,Year,1,Year,IELTS,,,6.5,,,https://www.vu.edu.au/courses/international/BGBT,English,A,"Gain a specialised qualification for a career in policy, planning or management, with a Graduate Diploma in Business (Tourism and Destination Management). This diploma gives graduates the competitive edge for managerial, policy-development and planning roles within the rapidly growing tourism and events industries. Throughout the course, you'll study tourism and management with a focus on contemporary challenges faced by destinations internationally.",Tourism planning agencies/ Tourism promotion agencies such as ‘Destination Melbourne’/ Attractions management/ Marketing and communication (events)/ Planning within the travel sector (airlines and other major transport providers)/ Self-employment through tourism management businesses,Australia,Yes,Yes,,Yes,Yes,
MST,Victoria University,City Flinders,Master of Business (Tourism and Destination Management),Victoria University Business School,"14,850",,AUD,Year,2,Years,IELTS,,,6.5,,,https://www.vu.edu.au/courses/international/BMBT,English,A,,"planning and policy development officers in government departments at national, state and local and regional levels/ research and planning officers with research and consulting firms/ tourism planning and promotion agency staff/ tourism educators through private providers and TAFE/ policy officers with professional and industry associations/ managers of attractions/ marketing and communication roles (events)/ planners within the travel sector (airlines and other major transport providers)/ self employment through tourism management businesses.",Australia,Yes,Yes,,Yes,Yes,
MST,Victoria University,City Flinders,"Master of Change, Innovation and Leadership",Victoria University Business School,"15,500",,AUD,Year,1.5,Years,IELTS,,,6.5,,,https://www.vu.edu.au/courses/international/BMCH,English,A,"Build on your industry experience to become a change management leader with the world-first Master of Change, Innovation and Leadership from Victoria University. This degree is designed to equip experienced professionals from diverse industries with sought-after skills. You’ll develop techniques to build innovative teams, drive complex change and adjust quickly to new business conditions. You’ll learn to help individuals appreciate the complexity that surrounds organisational change and strengthen their ability to manage change in their organisations. The course program is developed in collaboration with industry leaders who have enormous change experience who will also contribute towards the delivery of the program. While the program will take an interdisciplinary approach, the key focus will be on blending business and psychology.",director or head of change/ change management professional/consultant/ organisational development consultant/ program/project manager/ ERP/SAP implementation professional/ coaching and training professional.,Australia,Yes,Yes,,Yes,Yes,
MST,Victoria University,Footscray Park,Master of Clinical Exercise Science and Rehabilitation,College of Sport and Exercise Science,"15,550",,AUD,Year,1.5,Years,IELTS,,,7,,,https://www.vu.edu.au/courses/international/AMEP,English,A,"Become an exercise physiologist (AEP) with a Master of Clinical Exercise Science and Rehabilitation at Victoria University. You'll learn to assess and prescribe exercise and physical activity for people with chronic conditions or complex care needs. This course will prepare you to work in the community and in clinical settings with people who have: Our program follows a strong evidence-based teaching approach to the scope of practice of clinical exercise physiology. To consolidate your theoretical learning, you will gain significant practical experience in clinical placements.",hospitals/ community health centres/ fitness centres/ sporting academies/ sports clinics/ rehabilitation clinics/ case management through compensable schemes such as WorkSafe.,Australia,Yes,Yes,,Yes,Yes,
CERTI,Victoria University,Footscray Nicholson,Certificate III in Commercial Cookery,VU Polytechnic,"6,400",,AUD,Year,1,Year,IELTS,,,") to measure the language proficiency of people who want to study with us. As part of this test, applicants must attain a minimum",,,https://www.vu.edu.au/courses/international/SIT30816,English,A,"Make your culinary dream a reality, with this hands-on commercial cookery course at VU Polytechnic. Using a blend of online and practical skills development, this course provides you with essential skills in the following areas: You'll learn a range of practical skills and the latest trends and techniques used in the industry under the guidance of experienced chefs.",restaurants/cafes/ hotels/ resorts/ reception centres/ airlines/ hospitals/ aged care residences/ cruise ships/ catering companies/ clubs.,Australia,Yes,Yes,,Yes,Yes,
CERTIV,Victoria University,Footscray Nicholson,Certificate IV in Commercial Cookery,VU Polytechnic,"6,400",,AUD,Year,1.5,Years,IELTS,,,") to measure the language proficiency of people who want to study with us. As part of this test, applicants must attain a minimum",,,https://www.vu.edu.au/courses/international/SIT40516,English,A,,restaurants/ hotels/ clubs/ international commercial entities of 5-3 star standard.,Australia,Yes,Yes,,Yes,Yes,
MST,Victoria University,City Flinders,Master of Counselling,College of Health and Biomedicine,"14,050",,AUD,Year,2,Years,IELTS,,,7.0,,,https://www.vu.edu.au/courses/international/AMPE,English,A,"Develop an understanding of the theory and practice of counselling with the Master of Counselling at VU. You'll gain experience in adult, child and adolescent counselling, focusing your learning on: Accredited by the Australian Counselling Association (ACA), the Master of Counselling covers:",counselling/ family support/ multicultural services/ community work/ school counselling/ welfare services/ palliative care/ refugee services/ youth work.,Australia,Yes,Yes,,Yes,Yes,
